fecha,precio_aceite
30/03/2024,9.14
28/03/2024,9.1
27/03/2024,9.23
26/03/2024,9.24
25/03/2024,9.31
23/03/2024,9.33
22/03/2024,9.4
21/03/2024,9.31
20/03/2024,9.31
19/03/2024,9.29
18/03/2024,9.31
16/03/2024,9.38
15/03/2024,9.32
14/03/2024,9.49
13/03/2024,9.51
12/03/2024,9.43
11/03/2024,9.75
09/03/2024,9.68
08/03/2024,9.65
07/03/2024,9.7
06/03/2024,9.61
05/03/2024,9.61
04/03/2024,9.58
02/03/2024,9.68
01/03/2024,9.71
29/02/2024,9.72
28/02/2024,9.68
27/02/2024,9.72
26/02/2024,9.71
24/02/2024,9.72
23/02/2024,9.65
22/02/2024,9.58
21/02/2024,9.61
20/02/2024,9.72
19/02/2024,9.72
17/02/2024,9.79
16/02/2024,9.84
15/02/2024,9.81
14/02/2024,9.82
13/02/2024,9.82
12/02/2024,9.82
10/02/2024,9.81
09/02/2024,9.77
08/02/2024,9.81
07/02/2024,9.8
06/02/2024,9.81
05/02/2024,9.79
03/02/2024,9.77
02/02/2024,9.79
01/02/2024,9.75
31/01/2024,9.79
30/01/2024,9.77
29/01/2024,9.77
27/01/2024,9.77
26/01/2024,9.75
25/01/2024,9.75
24/01/2024,9.72
23/01/2024,9.8
22/01/2024,9.7
20/01/2024,9.79
19/01/2024,9.79
18/01/2024,9.84
17/01/2024,9.79
16/01/2024,9.84
15/01/2024,9.82
13/01/2024,9.84
12/01/2024,9.86
11/01/2024,9.81
10/01/2024,9.88
09/01/2024,9.87
08/01/2024,9.88
06/01/2024,9.8
05/01/2024,9.86
04/01/2024,9.86
03/01/2024,9.84
02/01/2024,9.86
